epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1091.79,0.95752,2.1082,0.97968,0.59066,0.65352,0.65039,0.52043,0.72204,1.09474,0.89624,0.00332654,0.00332654,0.00332654
2,2189.84,0.86401,1.21738,0.94111,0.74179,0.72258,0.75821,0.59907,0.74115,0.91944,0.90692,0.0064401,0.0064401,0.0064401
3,3293.66,0.89956,1.11769,0.95795,0.63505,0.55489,0.58634,0.3998,1.02713,1.60603,1.07494,0.00933366,0.00933366,0.00933366
4,4391.57,0.88613,0.98317,0.96609,0.68913,0.68783,0.73158,0.57143,0.75115,1.01145,0.92479,0.00901,0.00901,0.00901
5,5486.99,0.81881,0.83413,0.94608,0.78668,0.76736,0.81325,0.66872,0.65293,0.73852,0.88865,0.00868,0.00868,0.00868
6,6580.11,0.77859,0.75492,0.9334,0.81667,0.79065,0.83411,0.68242,0.6347,0.69458,0.88813,0.00835,0.00835,0.00835
7,7674.49,0.75121,0.70535,0.9245,0.85341,0.82939,0.88003,0.737,0.60657,0.58182,0.87801,0.00802,0.00802,0.00802
8,8769.22,0.72854,0.66659,0.91703,0.85842,0.82956,0.88407,0.74827,0.58525,0.57344,0.86814,0.00769,0.00769,0.00769
9,9862.49,0.71213,0.63894,0.91145,0.8729,0.86235,0.90394,0.77277,0.55857,0.50602,0.85806,0.00736,0.00736,0.00736
10,10955.5,0.69664,0.61121,0.90737,0.86307,0.83758,0.89849,0.77252,0.54915,0.52584,0.85712,0.00703,0.00703,0.00703
11,12047.3,0.68509,0.59077,0.90241,0.9073,0.88059,0.92801,0.80262,0.52892,0.45603,0.84921,0.0067,0.0067,0.0067
12,13137.6,0.67306,0.5716,0.89698,0.89814,0.87078,0.92328,0.80604,0.51798,0.45765,0.84507,0.00637,0.00637,0.00637
13,14226.5,0.66329,0.55355,0.89418,0.89863,0.8718,0.92425,0.80587,0.51861,0.46471,0.84536,0.00604,0.00604,0.00604
14,15315.7,0.65096,0.53846,0.89114,0.92264,0.89045,0.94323,0.83024,0.50201,0.42075,0.83891,0.00571,0.00571,0.00571
15,16407.2,0.63703,0.52372,0.88479,0.92179,0.90159,0.94851,0.84388,0.47459,0.40477,0.83089,0.00538,0.00538,0.00538
16,17496.5,0.62349,0.51111,0.88145,0.92911,0.90514,0.95161,0.85137,0.45966,0.38868,0.82644,0.00505,0.00505,0.00505
17,18585.5,0.61161,0.49628,0.87732,0.93554,0.90592,0.95477,0.85516,0.45688,0.37995,0.82573,0.00472,0.00472,0.00472
18,19675.3,0.604,0.48387,0.87476,0.93923,0.91399,0.95882,0.86069,0.4506,0.36317,0.82372,0.00439,0.00439,0.00439
19,20766.8,0.59504,0.47224,0.87184,0.94221,0.9168,0.9612,0.86793,0.4363,0.35082,0.81965,0.00406,0.00406,0.00406
20,21858.5,0.58731,0.4634,0.86993,0.94309,0.92411,0.96347,0.87162,0.43641,0.34463,0.81961,0.00373,0.00373,0.00373
21,22908.7,0.52388,0.40721,0.84201,0.94311,0.92451,0.96412,0.87281,0.43542,0.34275,0.81825,0.0034,0.0034,0.0034
22,23959.9,0.51384,0.39558,0.83978,0.95332,0.92479,0.96735,0.87758,0.42843,0.33253,0.81691,0.00307,0.00307,0.00307
23,25009.5,0.50565,0.38527,0.83572,0.95504,0.92763,0.96991,0.88344,0.42122,0.32284,0.81405,0.00274,0.00274,0.00274
24,26059.8,0.49703,0.37309,0.83353,0.95253,0.93023,0.96991,0.88439,0.41805,0.32037,0.81339,0.00241,0.00241,0.00241
25,27110.9,0.48666,0.36116,0.83065,0.95709,0.92994,0.97082,0.88634,0.41571,0.31497,0.81293,0.00208,0.00208,0.00208
26,28162.3,0.48048,0.35284,0.82884,0.95676,0.93419,0.97239,0.88861,0.41314,0.30954,0.81192,0.00175,0.00175,0.00175
27,29213.3,0.4725,0.3392,0.82549,0.95913,0.9364,0.9734,0.8915,0.40956,0.30414,0.81027,0.00142,0.00142,0.00142
28,30263.9,0.46185,0.32934,0.8232,0.95702,0.93915,0.97383,0.89275,0.40698,0.30108,0.8094,0.00109,0.00109,0.00109
29,31315.9,0.45422,0.31961,0.82032,0.95993,0.93871,0.97441,0.89425,0.40498,0.2983,0.80824,0.00076,0.00076,0.00076
30,32366.7,0.44595,0.31061,0.8195,0.96185,0.93828,0.97435,0.89516,0.40329,0.29689,0.8077,0.00043,0.00043,0.00043
